"F_PEDIDO","SERIE_PEDV","PEDIDO","CLIENTE","NOMBRE_CLIENTE","LIN_PED","ARTICULO","DESCRIPCION_ARTICULO","CANTIDAD","PRECIO_VTA","IMPORTE_LIN"
05/02/26,"26",61,59,"KG FRIDMAN AB",1,"WP000401","OLOFSTR� K710341 rev B",20,104,6,2092
05/02/26,"26",63,230,"VARAS HARD METAL",1,"BL000086","VARAS LOW RIVET ST C-185946",14,123,1,1723,4
05/02/26,"26",64,4,"ONA ELECTROEROSI�S.A.",1,"EE000011","POLEA CONDUCIDA BOCA INF.",12,39,37,472,44
05/02/26,"26",64,4,"ONA ELECTROEROSI�S.A.",3,"EE000004","POLEA CER�A",10,83,36,833,6
05/02/26,"26",65,255,"STETTLER SAPHIRE AG",1,"SPS00085","STETTLER RODS 45X4X3 KA-EDM",18,56,4,1015,2
05/02/26,"26",65,255,"STETTLER SAPHIRE AG",3,"SPS00086","STETTLER RODS 45X4X3 notch KA-EDM",5,62,310
05/02/26,"26",65,255,"STETTLER SAPHIRE AG",7,"SPS00086","STETTLER RODS 45X4X3 notch KA-EDM",2,62,124
06/02/26,"26",66,212,"IONIX ADVANCED TECHNOLOGIES Ltd.",1,"EX000055","IONIX ALUMINA UNIAXIAL DIE Di60",3,598,98,1796,94
06/02/26,"26",66,212,"IONIX ADVANCED TECHNOLOGIES Ltd.",3,"EX000055","IONIX ALUMINA UNIAXIAL DIE Di60",1,0,0
06/02/26,"26",66,212,"IONIX ADVANCED TECHNOLOGIES Ltd.",4,"EX000056","IONIX UPPER PUNCH DIE Di60",1,0,0
06/02/26,"26",66,212,"IONIX ADVANCED TECHNOLOGIES Ltd.",5,"EX000057","IONIX LOWER PUNCH DIE Di60",1,0,0
06/02/26,"26",68,312,"GE SCHMIDT INC",1,"WP000802","GESCH M14 OIN RETR PRAS148165119055",10,97,47,974,7
06/02/26,"26",68,312,"GE SCHMIDT INC",3,"WP000803","GESCH M8 RETRACT P PRAS088140066032",10,74,02,740,2
06/02/26,"26",68,312,"GE SCHMIDT INC",5,"WP000741","GESCHMIDT PIN STEP PNS1031950500356",5,103,62,518,1
06/02/26,"26",68,312,"GE SCHMIDT INC",7,"WP000661","GESCHMIDT PIN PNT111150-C2W",10,79,93,799,3
06/02/26,"26",69,7,"ANDERMAN C�AMIQUES",2,"ML000033","KAT-10045",2,55,45,110,9
06/02/26,"26",69,7,"ANDERMAN C�AMIQUES",5,"ML000677","ANDERMAN BANDEJA RECT 80X160X30",3,215,645
06/02/26,"26",69,7,"ANDERMAN C�AMIQUES",10,"ML000678","ANDERMAN BANDEJA RECT 138X190X75",2,490,980
06/02/26,"26",69,7,"ANDERMAN C�AMIQUES",15,"ML000003","KAC-2030",20,8,52,170,4
06/02/26,"26",69,7,"ANDERMAN C�AMIQUES",18,"ML000059","KAB-3020",10,8,75,87,5
06/02/26,"26",69,7,"ANDERMAN C�AMIQUES",21,"ML000075","KAP-20",20,4,9,98
06/02/26,"26",69,7,"ANDERMAN C�AMIQUES",22,"ML000040","KAPT-100",1,31,21,31,21
06/02/26,"26",69,7,"ANDERMAN C�AMIQUES",23,"ML000091","KAPT-150",1,42,42
06/02/26,"26",70,42,"APPLIED PHISICS TECHNOLOGIES",1,"PW000009","CeB6 POWDER",1,1135,39,1135,39
09/02/26,"26",71,22,"EQUILAB S.A.",2,"ML000060","KAB-4030",6,18,12,108,72
09/02/26,"26",72,462,"EMPIRICAL ADVANCES SL.",2,"ML000077","KAV-120",12,47,34,568,08
09/02/26,"26",73,5,"CSIC",2,"ML000002","KAC-1208",10,10,45,104,5
09/02/26,"26",73,5,"CSIC",3,"ML000004","KAC-3040",10,16,98,169,8
09/02/26,"26",73,5,"CSIC",6,"ML000030","KAT-4030",5,19,4,97
10/02/26,"26",74,20,"FUNDACI�OSCH I GIMPERA",2,"ML000077","KAV-120",4,47,34,189,36
10/02/26,"26",75,491,"BOSCO TECNOINDUSTRIA S. L.",1,"WP000804","BOSCO CENTR B232004104 C KZY",2,184,27,368,54
10/02/26,"26",75,491,"BOSCO TECNOINDUSTRIA S. L.",3,"WP000805","BOSCO CENTR B232004104 F KZY",6,92,52,555,12
10/02/26,"26",76,112,"GESTAMP NAVARRA, S.A.",1,"WP000142","GESTAMP NAVARRA WJSO0100142",10,87,81,878,1
10/02/26,"26",77,4,"ONA ELECTROEROSI�S.A.",1,"EE000003","GU� ROZAMIENTO DE HILO",10,44,12,441,2
