order_reference,order_document_number,delivery_reference,delivery_document_number,invoice_reference,invoice_document_number,client_name,operational_status,document_status,confidence,matching_rule,notes
26_68,26_68,137,137,26_68,EX 18,GESCHMIDT,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_68,client_exact,delivery_files=1,delivery_multi_refs=4 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_69,26_69,,,,,ANDERMAN CERAMIQUES,confirmed,,,order_only,order_files=1
26_7,26_7,34,34,26_7,IC 21,HIGH TECH CERAM,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_7,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=15,invoice_files=1,invoice_status=accepted"
26_70,26_70,,,,,APPLIED PHISICS TECHNOLOGIES,confirmed,,,order_only,order_files=1
26_71,26_71,61,61,26_71,N 17,EQUILAB,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_71,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_72,26_72,62,62,26_72,N 18,EMPIRICAL ADVANCES,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_72,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_73,26_73,,,,,INSTITUTO DE CATÁLISIS Y PETROLEOQUÍMICA,confirmed,,,order_only,order_files=1
26_74,26_74,,,,,FUNDACIÓ BOSCH I GIMPERA,confirmed,,,order_only,order_files=1
26_75,26_75,,,,,BOSCO TECNOINDUSTRIApdf,confirmed,,,order_only,order_files=1
26_76,26_76,135,135,,,GESTAMP NAVARRA,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_76,client_exact,delivery_files=1,delivery_multi_refs=3"
26_77,26_77,,,,,ONA ELECTROEROSIÓN,confirmed,,,order_only,order_files=1
26_78,26_78,98,98,26_78,IC 27,GESTAMP SOFEDIT SERMAISES,invoiced,accepted,high,order_ref_normalized+client_subset | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_78,client_normalized_subset,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=1,invoice_files=1,invoice_status=accepted"
26_79,26_79,,,,,AQUAJET SYSTEMS AB,confirmed,,,order_only,order_files=1
26_8,26_8,9,9,26_8,IC 14,FLUIDINOVA SA,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_8,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=1,invoice_files=1,invoice_status=accepted"
26_80,26_80,,,,,UNIV. POL. DE MADRID,confirmed,,,order_only,order_files=1
